# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
28-01-21 0:00,Class A,219019936,54.572615,11.928647,Under way using engine,0,0,302.9,229,Unknown,OZFA2,WIND TRANSPORTER,Cargo,,6,25,GPS,2,GEDSER,27-01-21 16:30,AIS,11,14,3,3
28-01-21 0:00,Class A,277466000,54.405653,12.118348,Under way using engine,0,21.6,79.5,79,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,265866000,54.74715,12.40895,Under way using engine,0,16.6,210.9,213,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219959000,57.398418,8.415093,Engaged in fishing,0,4.9,38.1,42,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219006443,57.592683,9.955133,Unknown value,,0,208.9,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219024176,55.592832,12.680202,Under way using engine,0,0,231.9,221,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class B,220383000,55.70796,7.982385,Unknown value,,3.3,83.2,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,AtoN,992111851,54.441605,7.678913,Unknown value,,,,,Unknown,,NSO 0 PLATFORM,Undefined,,,,GPS,,,,AIS,,,,
28-01-21 0:00,Class A,251339110,57.592967,9.963243,Under way using engine,,0,249,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,331208000,57.43734,10.54943,Under way using engine,0,0,229.2,317,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219797000,56.004132,8.123332,Restricted maneuverability,0,0,259.4,61,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219000892,56.9708,9.258733,Under way using engine,0,0,170.8,249,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,538008697,56.985077,11.74199,Under way using engine,-0.4,12.5,161.5,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,244178000,54.79355,15.539667,Under way using engine,0,12,267.5,267,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,304833000,55.713642,15.697773,Under way using engine,0,9.4,59.8,60,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,232008020,57.121985,8.596697,Engaged in fishing,0,0.4,327.4,323,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219005747,55.333477,11.134193,Under way sailing,0,0,245.2,248,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,566619000,57.850362,10.1481,Under way using engine,0,12.8,267.8,267,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219005286,55.0876,8.565183,Under way sailing,0,0,222.8,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219002586,57.591903,9.953725,Engaged in fishing,0,0,227.6,220,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,209992000,56.633522,11.810258,Under way using engine,0,9.8,39.2,36,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,309826000,55.023933,13.809718,Under way using engine,-0.7,12.7,172.5,177,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219014875,55.334113,11.13777,Under way using engine,0,0,349.9,341,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,219016906,55.093048,10.241517,Under way using engine,0,0,27,43,9628647,OZHL,FAABORG III,Passenger,,11,40,GPS,3,FAABORG LYOE AVERNAK,31-12-21 0:00,AIS,8,32,1,10
28-01-21 0:00,Class A,219015417,56.128092,12.309533,Under way using engine,,0.1,267.2,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
28-01-21 0:00,Class A,212571000,55.780782,5.132885,Under way using engine,,11.2,233.5,231,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
